               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.020623,            0.013514,           0.0023233,             0.78907,             0.87235,             0.87956,             0.70394,              0.0188,             0.01408,           0.0090462,             0.00571,             0.00571,             0.00571
                  67,            0.019761,            0.013323,           0.0019474,             0.88623,             0.84231,             0.90683,             0.72821,            0.018698,            0.014159,           0.0083791,            0.005644,            0.005644,            0.005644
                  68,            0.020628,            0.013951,           0.0019507,             0.81345,             0.89793,             0.91549,             0.73801,            0.018668,            0.013324,           0.0064084,            0.005578,            0.005578,            0.005578
                  69,            0.020996,            0.013521,           0.0020422,             0.84749,             0.83797,              0.9046,             0.73147,            0.017911,             0.01285,           0.0072446,            0.005512,            0.005512,            0.005512
                  70,            0.020401,             0.01362,           0.0018727,             0.87641,             0.82474,             0.90806,             0.73048,             0.01909,            0.013023,            0.007288,            0.005446,            0.005446,            0.005446
                  71,            0.019736,            0.013066,           0.0018854,             0.81761,             0.88424,              0.9108,             0.73956,            0.018336,            0.013238,           0.0070942,             0.00538,             0.00538,             0.00538
                  72,            0.020003,            0.013101,            0.001759,             0.85417,             0.85606,             0.90348,             0.72862,            0.018374,              0.0127,           0.0083336,            0.005314,            0.005314,            0.005314
                  73,            0.019443,            0.012843,           0.0019442,             0.86004,             0.83667,             0.88247,             0.70962,            0.018507,            0.013397,           0.0087229,            0.005248,            0.005248,            0.005248
                  74,            0.019702,             0.01285,           0.0020817,             0.88402,             0.83891,             0.90671,             0.74595,            0.017532,            0.012967,           0.0076866,            0.005182,            0.005182,            0.005182
                  75,            0.019372,            0.012699,            0.001997,             0.89542,             0.81808,             0.89544,             0.73887,             0.01776,            0.013932,           0.0075768,            0.005116,            0.005116,            0.005116
                  76,            0.019128,            0.013153,           0.0017882,             0.84182,             0.85949,             0.89779,             0.72853,            0.018492,            0.013598,           0.0074427,             0.00505,             0.00505,             0.00505
                  77,            0.019735,            0.013493,           0.0019091,             0.89183,              0.8327,             0.89436,             0.72474,            0.018364,            0.013682,           0.0082021,            0.004984,            0.004984,            0.004984
                  78,            0.019442,            0.012309,           0.0017453,             0.86569,             0.84888,             0.89682,             0.72808,             0.01818,            0.013396,           0.0085462,            0.004918,            0.004918,            0.004918
                  79,            0.018156,            0.012081,           0.0017494,             0.85703,             0.86521,             0.90225,             0.72746,            0.018389,            0.013604,           0.0071585,            0.004852,            0.004852,            0.004852
                  80,            0.018488,            0.012679,           0.0017868,             0.86997,             0.84905,             0.90209,              0.7409,            0.017904,            0.013504,            0.007193,            0.004786,            0.004786,            0.004786
                  81,             0.01873,            0.013191,           0.0017687,             0.88821,             0.84718,             0.89568,             0.73026,            0.018208,             0.01346,           0.0078773,             0.00472,             0.00472,             0.00472
                  82,            0.018183,            0.011908,           0.0018259,              0.8407,             0.85929,             0.89339,             0.73174,            0.017797,            0.013694,             0.00864,            0.004654,            0.004654,            0.004654
